Ref,Val,Package,PosX,PosY,Rot,Side
"R11","3.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.050000,-120.875000,-90.000000,top
"R12","3.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",203.050000,-120.875000,-90.000000,top
"R13","3.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",203.050000,-141.875000,-90.000000,top
"R14","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.300000,-38.400000,0.000000,top
"R15","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.350000,-61.625000,-90.000000,top
"R16","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.100000,-56.250000,180.000000,top
"R17","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",198.750000,-49.500000,90.000000,top
"RF1","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",211.050000,-77.837500,-90.000000,top
"RF2","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.050000,-93.875000,-90.000000,top
"RF3","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.050000,-77.875000,-90.000000,top
"RF4","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",211.050000,-93.875000,-90.000000,top
"RF5","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.300000,-141.875000,-90.000000,top
"RF6","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.300000,-120.875000,-90.000000,top
"RF7","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",211.300000,-120.875000,-90.000000,top
"RF8","30k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",211.300000,-141.875000,-90.000000,top
"RG1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.300000,-77.837500,-90.000000,top
"RG2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",197.300000,-93.875000,-90.000000,top
"RG3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",197.300000,-77.875000,-90.000000,top
"RG4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.300000,-93.875000,-90.000000,top
"RG5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",197.550000,-141.875000,-90.000000,top
"RG6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",197.550000,-120.875000,-90.000000,top
"RG7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.550000,-120.875000,-90.000000,top
"RG8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.550000,-141.875000,-90.000000,top
"SW1","ON/OFF","SLW-1276864-4A-D_FOOTPRINT",106.400000,-41.690000,0.000000,top
"TP1","5V","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",157.500000,-54.750000,0.000000,top
"TP2","3.3V","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",198.750000,-58.750000,0.000000,top
"TP3","GND","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",209.250000,-61.000000,0.000000,top
"TP4","GND","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",157.500000,-62.750000,0.000000,top
"U1","LM2596S-5","TO-263-5_TabPin3",148.425000,-46.525000,0.000000,top
"U2","LM2596S-3.3","TO-263-5_TabPin3",185.925000,-46.825000,0.000000,top
"U3","DAC7568IAPW","dac",198.300000,-106.125000,-90.000000,top
"U5","TLV9304xPW","TSSOP-14_4.4x5mm_P0.65mm",201.800000,-85.375000,180.000000,top
"U6","TLV9304xPW","TSSOP-14_4.4x5mm_P0.65mm",202.550000,-131.125000,180.000000,top
"U7","ADS8688","TSSOP-38_4.4x9.7mm_P0.5mm",67.500000,-100.500000,-90.000000,top
